Name,Brand,SeasonScore_Summer,SeasonScore_Winter,SeasonScore_Spring,SeasonScore_Fall,GenderScore_Men,GenderScore_Women,GenderScore_Unisex
Tihota Eau de Parfum,Indult,2.6,17.6,0.0,0.0,0.0,14.200000000000001,1.0
Sola Parfum,Di Ser,4.0,0.0,7.2,0.0,1.2,7.2,0.0
Kagiroi Parfum,Di Ser,2.0,6.0,5.0,8.3,10.6,1.8,2.0
Velvet Fantasy Eau de Parfum,Montale,2.0,24.900000000000002,8.3,6.6000000000000005,9.7,14.1,1.2
A Blvd. Called Sunset Eau de Parfum,A Lab on Fire,6.800000000000001,12.0,8.4,3.6,9.4,8.600000000000001,2.0
Freckled and Beautiful Eau de Parfum,A Lab on Fire,3.0,9.700000000000001,5.0,5.3999999999999995,1.6,5.2,1.6
Exit the King Eau de Parfum,Etat Libre d'Orange,3.2,4.6,8.700000000000001,3.6,4.5,5.4,3.0
Eshu Extrait,PRIN,0.0,7.9,0.0,15.600000000000001,10.5,1.4,0.0
Saringkarn Extrait,PRIN,0.0,20.999999999999996,5.4,8.8,17.8,6.800000000000001,0.0
Arsalan Parfum,PRIN,0.0,26.700000000000003,5.1,12.3,17.099999999999998,5.0,0.0
Nocturnal Poetry Parfum,PRIN,0.0,15.200000000000001,13.6,3.4,12.600000000000001,10.4,1.0
Homa Parfum,PRIN,1.5,17.0,4.8,9.2,10.299999999999999,1.8,0.0
Koala Extrait de Parfum,Zoologist,0.0,11.0,1.6,9.4,8.7,3.0,1.0
L'Homme A La Rose Eau de Parfum,Maison Francis Kurkdjian,6.800000000000001,3.6,19.8,1.6,5.6000000000000005,22.7,2.0
Rozu Eau de Parfum,Aesop,1.2,1.6,16.0,1.6,3.2,14.4,1.0
Champs Lunaires Eau de Toilette,Rogue Perfumery,0.0,1.4,6.4,1.8,2.9000000000000004,3.4000000000000004,1.0
Prends-Moi Eau de Parfum,Isabey,3.0,3.5,8.1,4.9,1.6,3.6,0.0
Eau de Cuisine Eau de Parfum,Hilde Soliani,5.4,1.8,0.0,0.0,2.4,1.4,2.0
Disobbedienza Eau de Parfum,Hilde Soliani,0.0,3.6,3.6,0.0,0.0,5.0,0.0
Vanille de Tahiti Eau de Parfum,Perris Monte Carlo,0.0,20.400000000000002,1.8,9.200000000000001,7.000000000000001,11.200000000000001,0.0
Gris Charnel Eau de Parfum,BDK Parfums,0.0,3.3,1.5,4.9,3.4000000000000004,0.0,0.0
Milk Musk Eau de Toilette,Molton Brown,4.4,21.099999999999998,0.0,1.2,7.800000000000001,4.800000000000001,3.0
Blackberry Woods Eau de Parfum,Shay & Blue,6.8,0.0,3.4000000000000004,0.0,2.4,1.8,1.0
Lavande Romaine Eau de Parfum,Perris Monte Carlo,0.0,1.4,0.0,1.7,2.9000000000000004,0.0,0.0
Celestial Eau de Parfum,Electimuss,1.2,5.1,5.4,4.7,4.9,5.4,0.0
Puritas Eau de Parfum,Electimuss,0.0,10.3,5.1,2.8,1.5,3.6,0.0
Thurible Eau de Parfum,Rook Perfumes,3.2,32.400000000000006,3.6,6.200000000000001,14.1,5.0,4.6
Suede Eau de Parfum,Rook Perfumes,0.0,17.6,0.0,5.4,18.0,1.4,0.0
Amber Eau de Parfum,Rook Perfumes,0.0,31.8,0.0,16.8,6.0,3.0,0.0
Interlude Black Iris Eau de Parfum,Amouage,1.8,15.600000000000001,10.5,10.2,12.8,1.6,0.0
Escale En Haiti Eau De Cologne,Les Indemodables,3.6,3.6,0.0,12.800000000000002,13.8,1.4,2.2
Escale En Indonesie Eau De Cologne,Les Indemodables,15.399999999999999,8.0,7.0,3.6,3.2,5.4,2.2
Zeste de Gingembre Eau de Parfum,HEELEY,14.6,6.4,0.0,4.6,2.8,0.0,5.0
Haute Provence Eau de Parfum,Parle Moi de Parfum,0.0,0.0,5.0,0.0,1.2,1.8,2.0
Escentric 05 - Travel Spray Eau de Toilette,Escentric Molecules,6.4,9.3,4.699999999999999,6.6,3.0,3.2,2.0
1979 New Wave Eau de Parfum,Les Bains Guerbois,4.3,6.7,1.5,9.7,7.300000000000001,0.0,0.0
2018 Roxo Tonic Eau de Parfum,Les Bains Guerbois,9.8,2.7,0.0,2.8,3.1,0.0,1.2
Sel d'Argent Eau de Parfum,BDK Parfums,8.0,1.4,2.9,0.0,1.3,0.0,1.0
Citrus Riviera Eau de Parfum,BDK Parfums,10.0,3.4000000000000004,3.2,1.6,1.8,1.8,1.2
Smoke Show Eau de Parfum,Vilhelm Parfumerie,1.2,12.2,3.6,3.2,11.2,3.6,0.0
Do Not Disturb Eau de Parfum,Vilhelm Parfumerie,0.0,1.6,3.3,0.0,0.0,1.8,0.0
Room Service Eau de Parfum,Vilhelm Parfumerie,3.0,6.7,4.8,8.0,4.5,4.699999999999999,1.2
Purple Fig Eau de Parfum,Vilhelm Parfumerie,1.6,1.2,6.5,1.6,1.8,3.2,3.0
Basilico & Fellini Eau de Parfum,Vilhelm Parfumerie,3.2,0.0,3.1,1.6,1.8,0.0,3.0
Poets of Berlin Eau de Parfum,Vilhelm Parfumerie,5.6,2.2,4.800000000000001,5.0,5.2,1.6,4.0
Morning Chess Eau de Parfum,Vilhelm Parfumerie,4.6000000000000005,7.6,4.7,1.6,4.0,0.0,3.0
Mango Skin Eau de Parfum,Vilhelm Parfumerie,0.0,9.2,3.6,1.6,1.6,6.800000000000001,0.0
Dear Polly Eau de Parfum,Vilhelm Parfumerie,3.0,4.8,0.0,1.6,2.6,0.0,0.0
Black Citrus Eau de Parfum,Vilhelm Parfumerie,10.2,6.2,4.5,3.0,0.0,0.0,3.4
Lil Fleur Eau de Parfum,BYREDO,1.2,11.500000000000002,7.2,2.8,2.0,11.8,0.0
Kurokami Parfum,Di Ser,1.8,0.0,10.8,1.8,1.6,10.8,0.0
Bouquet de Hongrie Eau de Parfum,BDK Parfums,4.0,3.4,3.6,3.3,2.9000000000000004,3.6,2.0
Undergrowth Eau de Parfum,Rook Perfumes,8.600000000000001,3.0,3.2,3.0,4.3,0.0,4.0
Rook Eau de Parfum,Rook Perfumes,1.6,13.800000000000002,0.0,6.5,9.700000000000001,0.0,2.0
